plantID,damage_trt,water_trt,start_height_cm,end_height_cm,final_growth_cm,num_lvs,stomatal_conductance,dry_mass_g,,,,
1,Heavy,Control,5,12,7,12,NA,0.07,,,Damage Type,Average Stomatal Conductance (gsw)
2,Heavy,Control,4.5,10,5.5,12,NA,0.07,,,High,0.021358
3,Heavy,Control,4.5,13,8.5,12,NA,0.05,,,,0.01415
4,Medium,Control,8,12,4,18,0.007248,0.15,,,,
5,Heavy,Control,3.5,dead,NA,9,NA,NA,,,,
6,Medium,Control,8.5,19,10.5,18,NA,0.15,,,,
7,Medium,Control,2.5,4,1.5,6,NA,0.04,,,,
8,Medium,Control,7,12,5,12,NA,0.9,,,Medium,0.007248
9,Medium,Control,8,14.5,6.5,15,NA,0.15,,,,0.0090595
10,Heavy,Control,3.5,10.5,7,10,NA,0.08,,,,0.0273205
11,Medium,Control,13.5,26,12.5,21,0.0090595,0.38,,,,0.02123
12,Heavy,Control,6,15.5,9.5,15,NA,0.1,,,,
13,Heavy,Control,6.5,11,4.5,15,NA,0.1,,,Control,
14,Medium,Control,3,10.5,7.5,12,NA,0.1,,,,
15,Medium,Control,5.5,14.5,9,15,NA,0.18,,,,
16,Heavy,Control,5,15.5,10.5,15,0.021358,0.12,,,,
17,Medium,Control,5,22,17,12,0.0273205,0.18,,,,
18,Heavy,Control,5,13,8,15,NA,0.14,,     ,,
19,Medium,Control,5,15.5,10.5,15,NA,0.12,,,,
20,Heavy,Control,6,17,11,15,NA,0.12,,,,
21,Medium,Drought,7,10,3,12,NA,0.06,,,,
22,Heavy,Drought,4,3.5,-0.5,9,NA,0.05,,,,
23,Medium,Drought,3.5,11,7.5,9,NA,0.02,,,,
24,Heavy,Drought,3,9.5,6.5,9,NA,0.06,,,,
25,Medium,Drought,4.5,10,5.5,15,NA,0.05,,,,
26,Heavy,Drought,5,7,2,12,NA,0.04,,,,
27,Medium,Drought,4,14,10,12,0.02123,0.07,,,,
28,Heavy,Drought,4.5,12,7.5,9,0.01415,0.06,,,,
29,Heavy,Drought,7,14.5,7.5,9,NA,0.11,,,,
30,Heavy,Drought,10,14,4,18,NA,0.07,,,,
31,Medium,Drought,7.5,Dead,NA,12,NA,dead,,,,
32,Medium,Drought,4,Dead,NA,10,NA,dead,,,,
33,Medium,Drought,10,18,8,13,0.006054,0.13,,,,
34,Heavy,Drought,6.5,13,6.5,15,NA,0.03,,,,
35,Medium,Drought,4.5,10,5.5,12,NA,0.07,,,,
36,Heavy,Drought,4.5,6,1.5,12,NA,0.04,,,,
37,Heavy,Drought,5,11,6,10,NA,0.06,,,,
38,Medium,Drought,8,18,10,15,NA,0.13,,,,
39,Heavy,Drought,4,10,6,9,NA,0.05,,,,
40,Medium,Drought,9,17,8,13,0.099139,0.11,,,,
41,None,Drought,4,12,8,13,NA,0.1,,,,
42,None,Control,5,20,15,12,0.07428,0.17,,,,
43,None,Control,5.5,15.5,10,9,NA,0.13,,,,
44,None,Control,8,19,11,15,0.045784,0.17,,,,
45,None,Control,6.5,17.5,11,15,NA,0.18,,,,
46,None,Drought,3.5,16,12.5,12,0.03055,0.15,,,,
47,None,Control,8,18.5,10.5,12,NA,0.13,,,,
48,None,Drought,7,10,3,15,NA,0.08,,,,
49,None,Control,6,22,16,12,NA,0.13,,,,
50,None,Control,6,11,5,12,NA,0.25,,,,
51,None,Drought,4,Dead,NA,9,NA,dead,,,,
52,None,Control,9,19,10,18,0.013887,0.27,,,,
53,None,Control,7,20,13,12,NA,0.15,,,,
54,None,Drought,3,Dead,NA,9,NA,dead,,,,
55,None,Control,4.5,17.5,13,12,NA,0.19,,,,
56,None,Drought,6.5,21.5,15,13,0.066955,0.29,,,,
57,None,Drought,7,19,12,12,0.058842,0.18,,,,
58,None,Control,11,23.5,12.5,19,NA,0.25,,,,
59,None,Drought,5,14,9,15,0.032675,0.15,,,,
60,None,Drought,8,17,9,12,0.043753,0.14,,,,
61,None,Drought,10,21,11,15,0.01701,0.25,,,,
62,None,Control,5,21.5,16.5,9,NA,0.1,,,,
63,None,Drought,6,18,12,12,0.047861,0.11,,,,
64,None,Drought,8,21,13,12,0.021849,0.23,,,,
65,None,Control,3,17.5,14.5,8,NA,0.1,,,,
66,None,Control,8,20,12,12,0.008752,0.18,,,,
67,None,Drought,5,23,18,12,NA,0.16,,,,
68,None,Drought,5,18.5,13.5,12,0.00182,0.13,,,,
69,None,Control,6,10,4,9,NA,0.1,,,,
70,None,Control,4,27.5,23.5,12,NA,0.39,,,,
71,None,Drought,5,18,13,10,NA,0.09,,,,
72,None,Drought,7,22,15,12,0.047488,0.16,,,,
73,None,Control,7,17,10,12,NA,0.16,,,,
74,None,Control,7,16,9,15,NA,0.13,,,,
75,None,Drought,6.5,20,13.5,15,NA,0.16,,,,
76,None,Drought,5,12,7,12,NA,0.06,,,,
77,None,Drought,4,15.5,11.5,12,NA,0.05,,,,
78,None,Control,7.5,16,8.5,15,NA,0.1,,,,
79,None,Control,4.5,12,7.5,12,NA,0.08,,,,
80,None,Drought,6,18,12,12,0.114133,0.13,,,,
