plantID,plotID,elevation.m,shade.sun,damage.trt,fruits
1,1,1500,shade,ctrl,25
2,1,1500,shade,tip,18
3,1,1500,shade,holes,26
4,1,1500,shade,ctrl,17
5,1,1500,shade,tip,6
6,1,1500,shade,holes,29
7,1,1500,shade,ctrl,16
8,1,1500,shade,tip,27
9,1,1500,shade,holes,20
10,1,1500,shade,ctrl,9
11,1,1500,shade,tip,14
12,1,1500,shade,holes,15
13,1,1500,shade,ctrl,29
14,1,1500,shade,tip,16
15,1,1500,shade,holes,5
16,2,1500,sun,ctrl,20
17,2,1500,sun,tip,11
18,2,1500,sun,holes,14
19,2,1500,sun,ctrl,7
20,2,1500,sun,tip,5
21,2,1500,sun,holes,3
22,2,1500,sun,ctrl,23
23,2,1500,sun,tip,17
24,2,1500,sun,holes,24
25,2,1500,sun,ctrl,8
26,2,1500,sun,tip,29
27,2,1500,sun,holes,12
28,2,1500,sun,ctrl,9
29,2,1500,sun,tip,8
30,2,1500,sun,holes,19
31,3,1500,shade,ctrl,31
32,3,1500,shade,tip,10
33,3,1500,shade,holes,22
34,3,1500,shade,ctrl,8
35,3,1500,shade,tip,21
36,3,1500,shade,holes,8
37,3,1500,shade,ctrl,14
38,3,1500,shade,tip,13
39,3,1500,shade,holes,13
40,3,1500,shade,ctrl,13
41,3,1500,shade,tip,5
42,3,1500,shade,holes,13
43,3,1500,shade,ctrl,6
44,3,1500,shade,tip,15
45,3,1500,shade,holes,12
46,4,1500,sun,ctrl,10
47,4,1500,sun,tip,11
48,4,1500,sun,holes,21
49,4,1500,sun,ctrl,18
50,4,1500,sun,tip,19
51,4,1500,sun,holes,7
52,4,1500,sun,ctrl,25
53,4,1500,sun,tip,13
54,4,1500,sun,holes,8
55,4,1500,sun,ctrl,12
56,4,1500,sun,tip,12
57,4,1500,sun,holes,10
58,4,1500,sun,ctrl,29
59,4,1500,sun,tip,24
60,4,1500,sun,holes,11
61,5,1500,shade,ctrl,15
62,5,1500,shade,tip,5
63,5,1500,shade,holes,23
64,5,1500,shade,ctrl,8
65,5,1500,shade,tip,14
66,5,1500,shade,holes,18
67,5,1500,shade,ctrl,11
68,5,1500,shade,tip,33
69,5,1500,shade,holes,22
70,5,1500,shade,ctrl,25
71,5,1500,shade,tip,17
72,5,1500,shade,holes,15
73,5,1500,shade,ctrl,17
74,5,1500,shade,tip,11
75,5,1500,shade,holes,21
76,6,1500,sun,ctrl,13
77,6,1500,sun,tip,21
78,6,1500,sun,holes,9
79,6,1500,sun,ctrl,43
80,6,1500,sun,tip,9
81,6,1500,sun,holes,10
82,6,1500,sun,ctrl,12
83,6,1500,sun,tip,9
84,6,1500,sun,holes,9
